Bus Distance (miles),Closest Store,Driving Distance (miles),Location,Percent in Poverty,Poverty Groups,School Name,Store Address,Walking Distance (miles),Zip Code,Food Desert
1.4,Fiesta Mart,1.4,Dallas,97.13,90-100,William M Anderson Elementary,"10121 E Lake June Rd, Dallas, TX 75217",1.2,75217.0,Yes
0.9,Supermercado Monterrey,0.9,Dallas,96.33,90-100,Arcadia Park Elementary School,"5306 W Davis St, Dallas, TX 75211",0.9,75211.0,No
1.7,Fiesta Mart,1.7,Dallas,96.24,90-100,"Jose ""Joe"" May Elementary School","9727 Webb Chapel Rd, Dallas, TX 75220",1.3,75220.0,Yes
1.5,Walmart Supercenter,1.5,Dallas,98.0,90-100,Bayles Elementary School,"7401 Samuell Blvd, Dallas, TX 75228",1.4,75228.0,Yes
4.6,Fiesta Mart,4.1,Dallas,86.67,80-89,W A Blair Elementary School,"2951 S Buckner Blvd, Dallas, TX 75227",3.9,75217.0,Yes
2.2,Aldi,1.6,Dallas,91.71,90-100,Annie Webb Blanton Elementary School,"2926 S Buckner Blvd, Dallas, TX 75227",1.6,75227.0,Yes
1.6,Fiesta Mart,1.5,Dallas,97.38,90-100,James Bowie Elementary School,"611 W Jefferson Blvd, Dallas, TX 75208",1.4,75203.0,Yes
1.3,Fiesta Mart,0.6,Dallas,88.86,80-89,John Neely Bryan Elementary School,"3030 S Lancaster Rd, Dallas, TX 75216",0.6,75216.0,No
0.9,Save A Lot,0.9,Dallas,70.11,70-79,Harrell Budd Elementary School,"2611 S Lancaster Rd, Dallas, TX 75216",0.9,75216.0,No
1.0,Fiesta Mart,0.8,Dallas,98.76,90-100,David G. Burnet Elementary School,"9727 Webb Chapel Rd, Dallas, TX 75220",0.7,75220.0,No
6.4,Save You More,5.9,Dallas,98.77,90-100,Rufus C Burleson Elementary School,"3540 Simpson Stuart Rd, Dallas, TX 75241",5.6,75217.0,Yes
3.2,Fiesta Mart,2.4,Dallas,98.35,90-100,W W Bushman Elementary School,"3030 S Lancaster Rd, Dallas, TX 75216",2.2,75216.0,Yes
6.1,Fiesta Mart,3.5,Dallas,93.19,90-100,Chapel Hill Preparatory School,"1235 S Josey Ln, Carrollton, TX 75006",3.5,75234.0,Yes
0.9,El Rio Grande Latin Market,1.0,Dallas,93.3,90-100,F. P. Caillet Elementary School,"10909 Webb Chapel Rd, Dallas, TX 75229",0.9,75229.0,No
0.3,Fiesta Mart,0.3,Dallas,94.44,90-100,John W Carpenter Elementary School,"2225 W Ledbetter Dr, Dallas, TX 75224",0.3,75224.0,No
1.2,Jerry's Supermarket,1.0,Dallas,92.1,90-100,C F Carr Elementary School,"1719 Singleton Blvd, Dallas, TX 75212",1.0,75212.0,No
1.2,Walmart Neighborhood Market,1.1,Dallas,85.34,80-89,Casa View Elementary School,"2275 Gus Thomasson Rd, Dallas, TX 75228",1.1,75228.0,Yes
1.0,Super 1 Foods,1.1,Dallas,88.37,80-89,Central Elementary,"125 Hall Rd, Seagoville, TX 75159",1.0,75159.0,Yes
1.2,Save A Lot,1.2,Dallas,100.0,90-100,Martin Luther King Jr. Learning Center,"3021 Martin Luther King Jr Blvd, Dallas, TX 75215",1.2,75215.0,Yes
2.3,Walmart Supercenter,1.3,Dallas,87.11,80-89,S S Conner Elementary School,"7401 Samuell Blvd, Dallas, TX 75228",1.2,75228.0,Yes
0.9,Supermercado Monterrey,0.7,Dallas,95.46,90-100,Leila P Cowart Elementary School,"1120 S Westmoreland Rd, Dallas, TX 75211",0.7,75211.0,No
0.5,Aldi,0.4,Dallas,96.01,90-100,Ignacio Zaragoza Elementary School,"4120 Gaston Ave, Dallas, TX 75246",0.4,75246.0,No
1.0,Aldi,1.2,Dallas,63.86,60-69,Everette Lee DeGolyer Elementary School,"3128 Forest Ln #245, Dallas, TX 75234",1.0,75229.0,Yes
0.6,El Rancho Supermercado,0.5,Dallas,91.59,90-100,L. O. Donald Elementary School,"4450 W Jefferson Blvd, Dallas, TX 75211",0.5,75211.0,No
0.4,Malone's Cost Plus,0.4,Dallas,90.83,90-100,Julius Dorsey Elementary School,"333 S St Augustine Dr, Dallas, TX 75217",0.4,75217.0,No
