School Name,Closest Store,Store Lat,Store Long
William M Anderson Elementary,Fiesta Mart,32.7348684,-96.6501957
Arcadia Park Elementary School,Supermercado Monterrey,32.749288,-96.9134447
"Jose ""Joe"" May Elementary School",Fiesta Mart,32.8669061,-96.86609380000002
Bayles Elementary School,Walmart Supercenter,32.7938293,-96.6895431
W A Blair Elementary School,Fiesta Mart,32.761627,-96.6843626
Annie Webb Blanton Elementary School,Aldi,32.76170400000001,-96.68127129999999
James Bowie Elementary School,Fiesta Mart,32.7442105,-96.83318229999999
John Neely Bryan Elementary School,Fiesta Mart,32.7107247,-96.8030326
Harrell Budd Elementary School,Save A Lot,32.7166741,-96.8050933
David G. Burnet Elementary School,Fiesta Mart,32.8669061,-96.86609380000002
Rufus C Burleson Elementary School,Save You More,32.6727974,-96.76151449999999
W W Bushman Elementary School,Fiesta Mart,32.7107247,-96.8030326
Chapel Hill Preparatory School,Fiesta Mart,32.9506446,-96.8888805
F. P. Caillet Elementary School,El Rio Grande Latin Market,32.8972984,-96.87178329999999
John W Carpenter Elementary School,Fiesta Mart,32.6929306,-96.8556212
C F Carr Elementary School,Jerry's Supermarket,32.7787886,-96.84686459999999
Casa View Elementary School,Walmart Neighborhood Market,32.8360434,-96.6762586
Central Elementary,Super 1 Foods,32.6497928,-96.54860839999999
Martin Luther King Jr. Learning Center,Save A Lot,32.7722282,-96.7656614
S S Conner Elementary School,Walmart Supercenter,32.7938293,-96.6895431
Leila P Cowart Elementary School,Supermercado Monterrey,32.7334897,-96.87346740000001
Ignacio Zaragoza Elementary School,Aldi,32.79439370000001,-96.77541680000002
Barbara Jordan Elementary School,Save A Lot,32.7050521,-96.84192569999999
George Bannerman Dealey Montessori Vanguard and International Academy,Tom Thumb,32.9114126,-96.80324189999999
Everette Lee DeGolyer Elementary School,Aldi,32.9090051,-96.8716491
L. O. Donald Elementary School,El Rancho Supermercado,32.7355,-96.892843
Julius Dorsey Elementary School,Malone's Cost Plus,32.7080032,-96.65805549999999
Paul L. Dunbar Learning Center,Fiesta Mart,32.7729891,-96.76219789999999
Jill Stone Elementary School at Vickery Meadow,Walmart Supercenter,32.8626377,-96.75441769999999
J.N. Ervin Elementary School,Save You More,32.6727974,-96.76151449999999
Tom W Field Elementary School,Tom Thumb,32.9107958,-96.8529798
Stephen C. Foster Elementary School,Target Grocery,32.862325,-96.8536929
Charles A. Gill Elementary School,Super Mercado El Cerrito,32.8428698,-96.6633944
Tom C Gooch Elementary School,Walmart Supercenter,32.921953,-96.84117549999999
Lenore Kirk Hall Elementary School,Fiesta Mart,32.7188881,-96.8771546
Margaret B. Henderson Elementary School,Kroger,32.7258081,-96.83279979999999
Victor H Hexter Elementary School,Kroger,32.8656454,-96.7017439
Larry G Smith Elementary School,El Rancho Supermercado,32.8337221,-96.6724192
C.A. Tatum Jr. Elementary School,Aldi,32.76170400000001,-96.68127129999999
Nathaniel Hawthorne Elementary School,El Rancho Supermercado,32.7383658,-96.68431989999999
James S Hogg Elementary School,Fiesta Mart,32.7442105,-96.83318229999999
Lida Hooe Elementary School,Tom Thumb,32.7426503,-96.8579515
L L Hotchkiss Elementary School,Fiesta Mart,32.8620542,-96.7460804
Sam Houston Elementary School,Kroger,32.8138484,-96.8292407
John Ireland Elementary School,El Rancho Supermercado,32.7383658,-96.68431989999999
Cedar Crest Elementary School,Save A Lot,32.7166741,-96.8050933
Anson Jones Elementary School,El Rancho Supermercado,32.7355,-96.892843
Edwin J Kiest Elementary School,El Rancho Supermercado,32.8337221,-96.6724192
Kleberg Elementary School,Wright's Family Food Center,32.6863187,-96.5887663
Obadiah Knight Elementary School,Kroger,32.8138484,-96.8292407
Kramer Elementary,Tom Thumb,32.9114126,-96.80324189999999
Richard Lagow Elementary School,Malone's Cost Plus,32.7080032,-96.65805549999999
Jimmie Tyler Brashear Elementary School,Aldi,32.7189639,-96.85813449999999
Sidney Lanier Expressive Arts Vanguard,Cox Farms Market - Dallas,32.7700349,-96.8352307
Geneva Heights Elementary School,Trader Joe's,32.8148346,-96.77055899999999
Umphrey Lee Elementary School,Aldi,32.6492603,-96.8587089
Jack Lowe Sr. Elementary School,Whole Foods Market,32.868026,-96.76830389999999
William Lipscomb Elementary School,Fiesta Mart,32.8088612,-96.77072969999999
H.I. Holland Elementary School at Lisbon,Fiesta Mart,32.7107247,-96.8030326
B.H. Macon Elementary School,Elrod's Cost Plus Supermarket,32.7350896,-96.68157959999999
Maple Lawn Elementary School,Kroger,32.8138484,-96.8292407
Herbert Marcus Elementary School,Aldi,32.9090051,-96.8716491
Thomas L. Marsalis Elementary School,Fiesta Mart,32.7107247,-96.8030326
Ben Milam Elementary School,Tom Thumb,32.8154852,-96.8006898
William B. Miller Elementary School,Save A Lot,32.7166741,-96.8050933
Roger Q. Mills Elementary School,Save A Lot,32.7166741,-96.8050933
Nancy Moseley Elementary School,Malone's Cost Plus,32.7080032,-96.65805549999999
Mount Auburn Elementary School,Fiesta Mart,32.8088612,-96.77072969999999
Clara Oliver Elementary School,Fiesta Mart,32.7107247,-96.8030326
George Peabody Elementary School,Super mercado Monterrey,32.7334897,-96.87346740000001
Elisha M. Pease Elementary School,Fiesta Mart,32.7107247,-96.8030326
John F Peeler Elementary School,Fiesta Mart,32.7442105,-96.83318229999999
John J. Pershing Elementary School,Tom Thumb,32.896315,-96.8048833
K. B. Polk Center for Academically Talented & Gifted,Tom Thumb,32.8444624,-96.8226218
Preston Hollow Elementary School,Tom Thumb,32.896315,-96.8048833
J. W. Ray Learning Center,Target Grocery,32.8036186,-96.79140009999999
John H Reagan Elementary School,Fiesta Mart,32.7442105,-96.83318229999999
Martha Turner Reilly Elementary School,Fiesta Mart,32.8515217,-96.6821068
Reinhardt Elementary School,Albertsons,32.8340827,-96.6998217
Joseph J. Rhoads Learning Center,Save A Lot,32.7722282,-96.7656614
Charles Rice Learning Center,Save A Lot,32.7722282,-96.7656614
Oran M Roberts Elementary School,Save A Lot,32.7722282,-96.7656614
Dan D Rogers Elementary School,Tom Thumb,32.8518532,-96.7669593
Rosemont Elementary School,Tom Thumb,32.7426503,-96.8579515
Clinton P. Russell Elementary School,Save A Lot,32.7166741,-96.8050933
Alex Sanger Elementary School,Tom Thumb,32.8128156,-96.72991479999999
San Jacinto Elementary School,Walmart Neighborhood Market,32.7599263,-96.6844833
Ascher Silberstein Elementary School,Fiesta Mart,32.761627,-96.6843626
Leslie A. Stemmons Elementary School,Grocery Clearance Center,32.7069216,-96.8927854
Stevens Park Elementary School,Aldi,32.7594021,-96.8636578
Harry Stone Montessori,Fiesta Mart,32.7107247,-96.8030326
T.G. Terry Elementary School,Cash Saver,32.6632218,-96.84243099999999
Robert L. Thornton Elementary School,Save You More,32.6727974,-96.76151449999999
Edward Titche Elementary School,Aldi,32.76170400000001,-96.68127129999999
George W Truett Elementary School,Albertsons,32.8340827,-96.6998217
Adelle Turner Elementary School,Walmart Supercenter,32.6837841,-96.82521849999999
Mark Twain Leadership Vanguard,Walmart Supercenter,32.6837841,-96.82521849999999
Urban Park Elementary School,Fiesta Mart,32.761627,-96.6843626
Walnut Hill Elementary School,El Rancho Supermercado,32.8815606,-96.8546956
Daniel Webster Elementary School,Fiesta Mart,32.6929306,-96.8556212
Martin Weiss Elementary School,Aldi,32.6492603,-96.8587089
Sudie L. Williams TAG Academy,Trader Joe's,32.8506249,-96.8183033
Winnetka Elementary School,Kroger,32.7258081,-96.83279979999999
Harry C. Withers Elementary School,Sprouts Farmers Market,32.9083501,-96.85375649999999
Edna Rowe Elementary School,Fiesta Mart,32.761627,-96.6843626
Nathan Adams Elementary School,Tom Thumb,32.9107958,-96.8529798
Henry B Gonzalez Personalized Learning Academy,El Rancho Supermercado,32.7383658,-96.68431989999999
Birdie Alexander Elementary,Aldi,32.6492603,-96.8587089
Nancy J. Cochran Elementary School,Supermercado Monterrey,32.7358412,-96.9248549
John W. Runyon Elementary School,Fiesta Mart,32.7348684,-96.6501957
Arturo Salazar Elementary School,Supermercado Monterrey,32.7334897,-96.87346740000001
Frank Guzick Elementary School,Walmart Supercenter,32.7938293,-96.6895431
