Name,Location,Percent in Poverty,Lat,Long,Google Place ID
Alcott Elementary School,Houston,96.26,29.666799100000002,-95.3297394,ChIJY3O44eyVQIYRkd7gUx2R1cU
Almeda Elementary,Houston,85.43,29.60046419999999,-95.4174648,ChIJHTuzqmnrQIYR4WZU7Nytzc8
Anderson Elementary School,Houston,87.79,29.648825800000004,-95.4871681,ChIJEza6443pQIYR38BS3Xn8zOA
Atherton Elementary School,Houston,97.06,29.779674800000002,-95.32193240000001,ChIJ-UwU8025QIYRMHCmAsROrjg
Barrick Elementary School,Houston,94.6,29.874546999999996,-95.3706207,ChIJCyOuB423QIYRYerLRb56eYM
Bastian Elementary School,Houston,99.04,29.6683007,-95.3493284,ChIJ3erK-ZyVQIYRlTcSd9kq0cM
James Berry Elementary,Houston,89.7,29.837047,-95.350112,ChIJtbgRe7S5QIYRm_sV831Ql9Y
Blackshear Elementary School,Houston,94.79,29.7291288,-95.362315,ChIJ5cep0ge_QIYRKEZH5cP3Yhg
James Butler Bonham Elementary School,Houston,97.56,29.6876402,-95.5193775,ChIJARpgnmLCQIYRQNePGiwfTrs
Bonner Elementary School,Houston,90.08,29.676472999999998,-95.2602819,ChIJnwpu-tCXQIYRCdTW8G2LnMo
Roderick Paige Elementary,Houston,95.57,29.827246399999996,-95.3379676,ChIJAQGjy6W5QIYRLcPmKsZbC_A
Braeburn Elementary,Houston,98.81,29.654744899999997,-95.5296656,ChIJ5Z5yZjfoQIYRdL2LZ9uAV2Q
Durham Elementary School,Houston,74.33,29.83592350000001,-95.416408,ChIJichWWL7HQIYRIBNk-5dKLmY
Briscoe Elementary School,Houston,81.79,29.729863399999996,-95.29750920000001,ChIJNw5PlTK8QIYRyiRfma3tmTE
Brookline Elementary School,Houston,94.36,29.6976729,-95.3144561,ChIJSxMoKg--QIYRB1HC7w73l3A
Browning Elementary School,Houston,94.7,29.797570299999997,-95.37833420000001,ChIJzwE8cpa4QIYRJ5DzGHvVrFo
Bruce Elementary School,Houston,98.58,29.7668707,-95.3421027,ChIJGxdvv9G-QIYRQSpVcSmiFjA
Burbank Elementary School,Houston,96.2,29.844536100000003,-95.373176,ChIJ8_vtfRW4QIYRubwHsy4sVnI
Codwell Elementary School,Houston,86.97,29.63409140000001,-95.3455896,ChIJJal3alOUQIYRvlpylCzFIEs
David G. Burnet Elementary,Houston,96.28,29.74605399999999,-95.318554,ChIJNc5zh5m-QIYRvVyhcnsLrEg
Woodson School,Houston,89.09,29.64279509999999,-95.36664300000001,ChIJRcBPtRuVQIYR8ApP7gx7e48
Lyons Elementary School,Houston,93.9,29.855851300000005,-95.3663504,ChIJASp9iyS4QIYRwLQRRcSBUrQ
Halpin Early Childhood Center,Houston,97.47,29.662206800000003,-95.5026782,ChIJKw-QFcPpQIYRRNSVqEeCaa4
Coop Elementary School,Houston,98.2,29.858721000000003,-95.348744,ChIJpahdvdO5QIYRiKWd2QxOJ2I
J. P. Cornelius Elementary School,Houston,87.84,29.677449199999998,-95.2943343,ChIJjzj_qx6WQIYRuLXwKBmiEIY
Crockett Elementary School,Houston,66.84,29.77406689999999,-95.38061390000001,ChIJhyDhFLO4QIYRd5R5VVZF3cg
Cunningham Elementary School,Houston,90.06,29.7177906,-95.4690782,ChIJ1cLtb4PBQIYR_7DmZiWYW6Q
De Chaumes Elementary School,Houston,95.78,29.861258000000003,-95.377276,ChIJ6WTKGRy4QIYRwU2xk8GOl-4
De Zavala Elementary School,Houston,89.28,29.73724649999999,-95.28885340000001,ChIJ8f67JDa8QIYRnrEX-jtGByA
Dogan Elementary School,Houston,85.83,29.78503880000001,-95.32838740000001,ChIJkwa4ZEi5QIYRQGb8mvaRmfM
Durkee Elementary School,Houston,90.42,29.8587592,-95.3924623,ChIJ___TywC4QIYRs3bn4XojfE4
Eliot Elementary School,Houston,95.07,29.781173,-95.306309,ChIJGTPxH_y7QIYRFprQ02pZu-I
Elrod Elementary School,Houston,87.76,29.671274600000004,-95.5018402,ChIJrUjK_t7pQIYRkwPfz0OzOYU
Emerson Elementary School,Houston,91.69,29.726466600000002,-95.5342926,ChIJPQY0khvDQIYRUmmQ9Z422Yo
Bell Elementary School,Houston,88.14,29.6439315,-95.5492463,ChIJ84o6em7oQIYRmfwDu3IFZ5Q
Field Elementary School,Houston,86.49,29.800807300000002,-95.3890218,ChIJHZb1gp64QIYRy2gZkULwdRk
Foster Elementary School,Houston,91.08,29.692188199999997,-95.3606122,ChIJLX821s-_QIYR4EPEWgoOdBk
Franklin Elementary School,Houston,96.45,29.7391312,-95.2974894,ChIJyYiSWzC8QIYRCzHHqlAvcZY
