School Name,Location,Percent in Poverty,Lat,Long,Google Place ID
Allison Elementary,Austin,92.0,30.168206999999992,-97.81776009999999,ChIJ04RBdWa3RIYRgJ7aGK5dgXM
Andrews Elementary School,Austin,91.02,30.317553999999998,-97.679663,ChIJ6YaMBenJRIYRhrPJHKXhGBU
Becker Elementary School,Austin,64.52,30.2503357,-97.7596416,ChIJbSvrueG0RIYRxmI7kMMuRAY
Blackshear Elementary School,Austin,82.49,30.266967200000003,-97.7221685,ChIJORLPNri1RIYRiP9HBkbu5Iw
Blanton Elementary,Austin,65.23,30.30693049999999,-97.6906309,ChIJt00JZfzJRIYR5xqZyz3qn0M
Brooke Elementary School,Austin,92.22,30.2544103,-97.7087015,ChIJR5zZUC20RIYRYGFcrJp1YwE
T.A. Brown Elementary School,Austin,89.63,30.3449055,-97.7092641,ChIJ5XbXnTLKRIYRiXppwpjGnBw
Campbell Elementary,Austin,81.45,30.28260629999999,-97.7138678,ChIJW6gsUum1RIYRzx2uJyLQqwc
Cunningham Elementary School,Austin,45.89,30.210476,-97.805811,ChIJx45O611LW4YRaBzv7VHSoHk
Dawson Elementary School,Austin,70.92,30.2342015,-97.7636141,ChIJj4XnHMK0RIYRlQNgmHUQvA8
Govalle Elementary School,Austin,89.95,30.264109899999998,-97.6985658,ChIJX5EN0Ne1RIYR4RJfILVN4TQ
Harris Elementary School,Austin,91.71,30.314829200000002,-97.69076700000001,ChIJVc827vDJRIYRZYTB5XehEog
Joslin Elementary School,Austin,65.7,30.2278837,-97.7901739,ChIJrziF4jVLW4YR3Gq6QBdWmno
Mathews Elementary School,Austin,33.93,30.2782568,-97.7608973,ChIJaZRrsmu1RIYRAWBuVaclQNY
Metz Elementary School,Austin,89.9,30.2547154,-97.7219604,ChIJp6cFLrW1RIYRqgzmwEq4pqc
Oak Springs Elementary School,Austin,95.75,30.271914600000002,-97.7045468,ChIJVXywKtu1RIYRi178msBlYKU
Ortega Elementary School,Austin,82.64,30.2699717,-97.6842751,ChIJWReHcm-2RIYRisjtFi2Eh58
Sanchez Elementary School,Austin,94.83,30.2542842,-97.7217272,ChIJMZBaDqy1RIYRTBtfjUxeU48
Pecan Springs Elementary School,Austin,89.57,30.30309589999999,-97.6761765,ChIJVzFqAyC2RIYRpLmWTkiL5Lg
Pleasant Hill Elementary School,Austin,6.59,30.196213399999998,-97.7764906, ChIJXeiz-FCzRIYRxM6HKPUt7CE
Reilly Elementary School,Austin,69.78,30.3286135,-97.7200392,ChIJ_y-yRz_KRIYRyPuDzkQtq-A
Ridgetop Elementary School,Austin,43.01,30.31148540000001,-97.7162121,ChIJ4XlReBLKRIYReVtjkjzp-i0
St. Elmo Elementary School,Austin,77.29,30.2219257,-97.773508,ChIJQbteFLq0RIYR5HB4F-_wgjY
Sims Elementary School,Austin,92.31,30.27941,-97.68540290000001,ChIJzzZyzRK2RIYROF60XM6PeLs
Travis Heights Elementary School,Austin,71.2,30.241569199999997,-97.7459465,ChIJDw2sX_e0RIYRumdl8u8LqrA
Walnut Creek Elementary School,Austin,89.91,30.379846500000003,-97.6840821,ChIJoTOZUUTJRIYRREfmYDAaZso
Wooten Elementary School,Austin,90.64,30.352942100000003,-97.7191571,ChIJ8wnR58nLRIYR5ZMIjm861h0
Zavala Elementary School,Austin,90.99,30.2582433,-97.7198811,ChIJH1m_dsq1RIYRlJNco7hEeO8
Menchaca Elementary School,Austin,42.84,30.1415279,-97.83379240000001,ChIJYQsgZKZNW4YRPt76fdhYSx0
Oak Hill Elementary School,Austin,40.59,30.2379909,-97.8587606,ChIJsduYtM9LW4YRTR_ZGQhB9I8
Barrington Elementary School,Austin,93.09,30.3605295,-97.6960642,ChIJTYxO6WLJRIYR1wInEqi6uEg
Norman Elementary School,Austin,92.81,30.2783251,-97.6739718,ChIJYahJPD-2RIYRVZVxjNjNe-c
Pillow Elementary School,Austin,71.05,30.3693647,-97.7336028,ChIJbR8C9JjLRIYR_Lyze59xuR0
Wooldridge Elementary School,Austin,91.84,30.364893300000002,-97.70993100000001,ChIJTefbXMPLRIYR13v7TcEh0Pk
