School Name,Location,Percent in Poverty,Lat,Long,Google Place ID
William M Anderson Elementary,Dallas,97.13,32.722293,-96.65559300000001,ChIJCbZ4NlO7ToYRv7DYsyn6ETw
Arcadia Park Elementary School,Dallas,96.33,32.7590326,-96.9105016,ChIJqe794iWbToYRjwbEYrqUy68
"Jose ""Joe"" May Elementary School",Dallas,96.24,32.8718959,-96.8750177,ChIJn_6JKTadToYROcaO8wodk6c
Bayles Elementary School,Dallas,98.0,32.800938,-96.706953,ChIJW0n6KS2iToYRr3_cVUo--SE
W A Blair Elementary School,Dallas,86.67,32.7089374,-96.6892924,ChIJiUIVoci8ToYRCk6ojehYKI0
Annie Webb Blanton Elementary School,Dallas,91.71,32.751892,-96.66883790000001,ChIJ8Tt5hmOjToYR7Bcjq3oIhuE
James Bowie Elementary School,Dallas,97.38,32.75255859999999,-96.8152548,ChIJJWU3uJiZToYRE0wKZjsTyH4
John Neely Bryan Elementary School,Dallas,88.86,32.71118790000001,-96.794894,ChIJyfQ2wH6XToYR2yZu_Nj9ig8
Harrell Budd Elementary School,Dallas,70.11,32.722099699999994,-96.8151557,ChIJw4-DCueZToYRMo0xjr6MsII
David G. Burnet Elementary School,Dallas,98.76,32.8763809,-96.8687261,ChIJx3XbwRCdToYRnWCp4xL_JhI
Rufus C Burleson Elementary School,Dallas,98.77,32.7189355,-96.7130729,ChIJge9Itiy9ToYR-vHQYAORrY0
W W Bushman Elementary School,Dallas,98.35,32.70840680000001,-96.7738105,ChIJS3r-WIyXToYRBFAAukHzR_c
Chapel Hill Preparatory School,Dallas,93.19,32.9185564,-96.8652857,ChIJP0rwUBAnTIYRXWKcZWIjvv8
F. P. Caillet Elementary School,Dallas,93.3,32.888713,-96.8744679,ChIJO5d-UYCdToYR-YDbgXsW4qU
John W Carpenter Elementary School,Dallas,94.44,32.695714,-96.85290400000001,ChIJUzXtO7yQToYRBcZRMKb65hQ
C F Carr Elementary School,Dallas,92.1,32.78765840000001,-96.8522717,ChIJ1w6Rtu2bToYRK8duiDqPY5Q
Casa View Elementary School,Dallas,85.34,32.8457,-96.6753729,ChIJqY9aRCWhToYRVAkz_MJh21w
Central Elementary,Dallas,88.37,32.9451787,-96.8939396,ChIJHU0WH0YmTIYRyeCvJ4beYyw
Martin Luther King Jr. Learning Center,Dallas,100.0,32.76078699999999,-96.772982,ChIJzQmnh1-YToYRbP0_iGOLBQo
3037 Green Meadow Dr,Dallas,87.11,32.8080284,-96.6948075,ChIJUx1FONijToYRrHkCutOX48w
1515 S Ravinia Dr,Dallas,95.46,32.728004,-96.869925,ChIJu7eOfWaaToYRvEfk7uueNE8
Ignacio Zaragoza Elementary School,Dallas,96.01,32.79491290000001,-96.7706465,ChIJjYpzAsiYToYRG6uUWtbh03g
Barbara Jordan Elementary School,Dallas,98.3,32.706299400000006,-96.840795,ChIJVwg-ta6QToYRqiO7jyyEUxE
6501 Royal Ln,Dallas,32.95,32.8959326,-96.792152,ChIJY_IP4n8gTIYRG5ZCmixld1M
Everette Lee DeGolyer Elementary School,Dallas,63.86,32.903798699999996,-96.86156940000001,ChIJb-_XwGgnTIYREzlSvha4U1E
L. O. Donald Elementary School,Dallas,91.59,32.7325386,-96.887129,ChIJE2qV0_KaToYRiu_a1i_Bucw
Julius Dorsey Elementary School,Dallas,90.83,32.712651,-96.65746440000001,ChIJWYD50lC7ToYRIqcATciiii4
Paul L. Dunbar Learning Center,Dallas,97.69,32.77492879999999,-96.7493497,ChIJOUud4HeiToYRppIj8dCsmFc
Jill Stone Elementary School at Vickery Meadow,Dallas,99.45,32.8655804,-96.74948570000001,ChIJR9gwKIifToYRiqxh0Dnd0Kw
J.N. Ervin Elementary School,Dallas,96.61,32.67988680000001,-96.7625316,ChIJUeW-BM-XToYR_i71KjuuZzA
Tom W Field Elementary School,Dallas,96.11,32.8960599,-96.9059368,ChIJFwzl4_AnTIYRAeCBxsgftUc
Stephen C. Foster Elementary School,Dallas,89.97,32.870296999999994,-96.854607,ChIJ6Z2EjeqdToYRbfVqhm1eOxA
Charles A. Gill Elementary School,Dallas,89.57,32.8446029,-96.6615675,ChIJp2HKb82mToYR9YgOQA-TI3g
Tom C Gooch Elementary School,Dallas,90.41,32.9170014,-96.8452334,ChIJU7sXeDcnTIYRZfH4OuulXYI
Lenore Kirk Hall Elementary School,Dallas,92.88,32.7221427,-96.8810725,ChIJjYAIw4iaToYR_pI6UhyUX40
Margaret B. Henderson Elementary School,Dallas,91.88,32.72371630000001,-96.8434752,ChIJ5fX11hqaToYR-STaHYw9eLQ
Victor H Hexter Elementary School,Dallas,62.41,32.8498517,-96.7092243,ChIJG15DSqqhToYRQy0qmeCkUHM
Larry G Smith Elementary School,Dallas,92.33,32.83329859999999,-96.65893790000001,ChIJeTVC_7WmToYRaMY42Jk4PB4
3002 N St Augustine Dr,Dallas,97.6,32.763357899999995,-96.655614,ChIJ1XEpWYakToYRuUysNFdx7JE
Nathaniel Hawthorne Elementary School,Dallas,97.17,32.7422192,-96.68861700000001,ChIJM7WNPD6jToYR-QeUUgPJn98
James S Hogg Elementary School,Dallas,93.38,32.7568445,-96.8252185,ChIJIfCKuIKZToYRzmC9qqTFC68
Lida Hooe Elementary School,Dallas,89.91,32.7405336,-96.8576377,ChIJnWhDOEeaToYRGD7ZSzkDPOY
L L Hotchkiss Elementary School,Dallas,99.32,32.8585492,-96.7407853,ChIJnWWocS6gToYRv5wtt4XgBgo
2827 Throckmorton St,Dallas,86.76,32.810203,-96.8131235,ChIJoaiK5MmeToYRYdTI1Phul70
John Ireland Elementary School,Dallas,98.08,32.739111699999995,-96.7013746,ChIJLZAggiGjToYRHqKOjt_-8aI
Cedar Crest Elementary School,Dallas,91.42,32.737788699999996,-96.7929887,ChIJYxMmWLWZToYRDRTOElVCW9E
Anson Jones Elementary School,Dallas,95.87,32.7429078,-96.8843926,ChIJ-4cwo_CaToYRQT1mP145seI
Edwin J Kiest Elementary School,Dallas,94.69,32.82590400000001,-96.66981870000001,ChIJ-6ELhU6hToYR_tvqkIK6sh0
Kleberg Elementary School,Dallas,89.99,32.6847251,-96.6006976,ChIJp4rRu_S6ToYRBtzkP-mfpQ0
Obadiah Knight Elementary School,Dallas,94.44,32.836451000000004,-96.8515443,ChIJ1y1lNzecToYRfRuxvbqWik0
7131 Midbury Dr,Dallas,68.37,32.9016647,-96.7834573,ChIJ48NlOXogTIYR-Chx5peSK9s
Richard Lagow Elementary School,Dallas,95.7,32.7022537,-96.6365049,ChIJq8MY3D27ToYRVkfLWRslEjs
Jimmie Tyler Brashear Elementary School,Dallas,80.6,32.71312839999999,-96.8581278,ChIJy-wjOHWaToYRp0TsAP5UPrM
Sidney Lanier Expressive Arts Vanguard,Dallas,90.0,32.76892099999999,-96.844114,ChIJsbQbmtqbToYRcbouGpMepSo
Geneva Heights Elementary School,Dallas,70.75,32.8245284,-96.7665471,ChIJiT0qXUGfToYRD40NCkdKsjY
Umphrey Lee Elementary School,Dallas,91.57,32.6532437,-96.8354873,ChIJ2Qz40cyWToYRMbNV86AbTic
Jack Lowe Sr. Elementary School,Dallas,83.38,32.872351699999996,-96.7606043,ChIJPybfyZKfToYR7xBdGakMBxQ
William Lipscomb Elementary School,Dallas,89.19,32.80701989999999,-96.75688520000001,ChIJnXbBLlOfToYRx7tyukvthgg
H.I. Holland Elementary School at Lisbon,Dallas,90.86,32.6964418,-96.7963344,ChIJR5KOJnSXToYRj0m4tU_9X_A
B.H. Macon Elementary School,Dallas,93.72,32.7227913,-96.67325109999999,ChIJ753vxlKjToYRK7IIMSzbcT4
Maple Lawn Elementary School,Dallas,97.84,32.8262493,-96.8293635,ChIJ7emfUp-eToYRVKFCYpRRrR8
Herbert Marcus Elementary School,Dallas,98.57,32.9049076,-96.87966870000001,ChIJtaREvZ0nTIYRGKe4dAmAsz0
Thomas L. Marsalis Elementary School,Dallas,89.21,32.67828100000001,-96.8133293,ChIJndzLdhiXToYRVOuH9EQ1g5g
Ben Milam Elementary School,Dallas,87.97,32.816191100000005,-96.790468,ChIJkToQ1yefToYR9t_sY48FCNI
William B. Miller Elementary School,Dallas,92.22,32.7189551,-96.7799757,ChIJh-cEsCiYToYRyVANbwhoxrU
Roger Q. Mills Elementary School,Dallas,91.45,32.732426399999994,-96.8024079,ChIJ16LGlMiZToYR7LqFS7g4tfQ
Nancy Moseley Elementary School,Dallas,94.47,32.689532,-96.64100090000001,ChIJH0UjtRK7ToYR5fuVdVkgBH4
6012 E Grand Ave,Dallas,85.57,32.79679379999999,-96.74375970000001,ChIJ4cmrVA-iToYRJLrFewpUuoI
Clara Oliver Elementary School,Dallas,89.52,32.6953855,-96.8113619,ChIJx7BVrWuXToYR1h6PllKvx_k
George Peabody Elementary School,Dallas,87.76,32.7428694,-96.8729228,ChIJ36eBH1qaToYR6wWcyEbnSqY
Elisha M. Pease Elementary School,Dallas,92.45,32.697840299999996,-96.7733238,ChIJSavNk5SXToYRiuNA47ICrVY
John F Peeler Elementary School,Dallas,95.87,32.7381708,-96.8316722,ChIJwVk6rIuZToYR2rMb75XIgow
John J. Pershing Elementary School,Dallas,85.35,32.8869181,-96.809562,ChIJHR4o2yOeToYRSFX_taV98c8
K. B. Polk Center for Academically Talented & Gifted,Dallas,84.98,32.842662,-96.83143340000001,ChIJMURpxYOeToYRGiLVUebvrX8
Preston Hollow Elementary School,Dallas,82.77,32.880770399999996,-96.7948806,ChIJZcuQ0jOeToYRWmEkFtN_dqU
J. W. Ray Learning Center,Dallas,94.24,32.8016632,-96.78938970000002,ChIJtQl0UtSYToYRv75HVlAbEAY
John H Reagan Elementary School,Dallas,91.69,32.7468386,-96.8309631,ChIJz7nzIYaZToYRI9dxssyZon4
Martha Turner Reilly Elementary School,Dallas,85.19,32.8550233,-96.6882008,ChIJUQ7wLx6hToYRRMfKYwPaZ1Q
Reinhardt Elementary School,Dallas,91.65,32.8367139,-96.6914003,ChIJxzkMxROhToYR5pffW2ggoig
Joseph J. Rhoads Learning Center,Dallas,96.12,32.7635488,-96.7485138,ChIJ5dgcvn-iToYR8lmdboILNKw
Charles Rice Learning Center,Dallas,95.12,32.7561768,-96.7619425,ChIJg9m1emOYToYRMxsW1cCGDj4
Oran M Roberts Elementary School,Dallas,97.54,32.7884443,-96.75391579999999,ChIJsRiiZ6GYToYRx93gFJ73Z-g
Dan D Rogers Elementary School,Dallas,77.63,32.851791999999996,-96.751793,ChIJ5Yq9KYCfToYRZiPcHUx-mR4
Rosemont Elementary School,Dallas,75.33,32.7517244,-96.8468579,ChIJD-LLIzKaToYRx0GzY1i71ZE
Clinton P. Russell Elementary School,Dallas,92.98,32.708617,-96.82404620000001,ChIJE1ct5FmXToYRifwyzFjZKJY
Alex Sanger Elementary School,Dallas,82.71,32.81345399999999,-96.7093979,ChIJJYzRCoGhToYR2GUDgfJj4kc
San Jacinto Elementary School,Dallas,98.12,32.75769930000001,-96.6860448,ChIJd-s1Jg2jToYRMzM86Vv74WQ
Ascher Silberstein Elementary School,Dallas,95.42,32.7671339,-96.71944690000001,ChIJSZZ_dVmiToYRnG3n4ZniTM4
Leslie A. Stemmons Elementary School,Dallas,94.3,32.7157715,-96.90097220000001,ChIJOelaN6KaToYRjYJb8UfWcYQ
Stevens Park Elementary School,Dallas,92.72,32.7601386,-96.8647891,ChIJScTKS7KbToYRGyiIQghZ_y4
Harry Stone Montessori,Dallas,58.7,32.693534299999996,-96.7831137,ChIJQzN0C5iXToYRv_nGV-FYqhg
T.G. Terry Elementary School,Dallas,93.25,32.6658845,-96.8296566,ChIJPYK21tWWToYReP5x-XPzE84
6011 Old Ox Rd,Dallas,85.25,32.673911100000005,-96.7979151,ChIJJ_nS4AOXToYRMU3VtKH5VQM
Edward Titche Elementary School,Dallas,83.59,32.754974600000004,-96.6584793,ChIJc7M1p5ykToYRMw7kwvuFAy0
George W Truett Elementary School,Dallas,93.94,32.8166162,-96.6835271,ChIJ88c3F16hToYRxh6RB4oFtxQ
Adelle Turner Elementary School,Dallas,84.66,32.67949339999999,-96.841224,ChIJT0Iq2dGQToYRdUgqcLz71e4
Mark Twain Leadership Vanguard,Dallas,90.94,32.6839127,-96.83394670000001,ChIJ_XJkZjOXToYRPNMMcCQFjnY
Urban Park Elementary School,Dallas,96.27,32.773968100000005,-96.7014932,ChIJ-xZh2q2jToYR1KrrcOyHaJc
Walnut Hill Elementary School,Dallas,83.2,32.882878999999996,-96.839588,ChIJS1jQkfydToYR2fVi1zHWkVs
Daniel Webster Elementary School,Dallas,93.96,32.696769,-96.861536,ChIJs62v1paQToYRc_1bH_4EHSM
Martin Weiss Elementary School,Dallas,95.99,32.643814,-96.830658,ChIJRRZIwrWWToYRJV4PWmbGweE
Sudie L. Williams TAG Academy,Dallas,90.81,32.854949600000005,-96.8314151,ChIJ17tCE3meToYR6nBDbWXz9Ek
Winnetka Elementary School,Dallas,93.8,32.7345624,-96.8449786,ChIJzSlWdBiaToYR3qi3GeR0wBg
Harry C. Withers Elementary School,Dallas,55.2,32.9032413,-96.84615550000001,ChIJmZzgVUUnTIYRPYkK3apK7Qg
Edna Rowe Elementary School,Dallas,90.87,32.7848474,-96.7066263,ChIJFRFaykqiToYRy-I4Sx5nKz0
Nathan Adams Elementary School,Dallas,89.56,32.9216055,-96.8283165,ChIJBV62VMkgTIYREF0Zl-_YQyc
Henry B Gonzalez Personalized Learning Academy,Dallas,95.42,32.73329449999999,-96.7068422,ChIJdYk3eyejToYRdtToUMMCnBk
Birdie Alexander Elementary,Dallas,77.54,32.6564261,-96.8478121,ChIJC3bAMyWRToYRTQZD7UkKsUU
Nancy J. Cochran Elementary School,Dallas,97.31,32.7356718,-96.9251672,ChIJ1-PACzSFToYR7RilxKo9tr4
John W. Runyon Elementary School,Dallas,96.36,32.7406206,-96.6409718,ChIJkR-Ct8CkToYRQTF5pQSAK_A
Arturo Salazar Elementary School,Dallas,94.92,32.7334395,-96.8685108,ChIJt_yV8GeaToYRYpfCGpAfdLM
Frank Guzick Elementary School,Dallas,95.82,32.784725,-96.691939,ChIJzTZxH7mjToYRT388ftmPQNo
Adelfa Callejo Elementary School,Dallas,95.81,32.7715727,-96.6855324,ChIJA6j5AqKjToYRN3obKmAlT6Y
Whitney M. Young Jr. Elementary School,Dallas,96.69,32.6966813,-96.7859741,ChIJBfZnR5mXToYRGuilzoVmpJQ
Lorenzo De Zavala Elementary School,Dallas,97.4,32.781209600000004,-96.8390798,ChIJ5QNqleCbToYRLKLZbCPywEM
"J. P. Starks Math, Science and Technology Vanguard",Dallas,99.43,32.7218782,-96.7738258,ChIJpdCJ1yOYToYRudFocfjjNFU
Ronald E McNair Elementary School,Dallas,94.83,32.6561505,-96.86354759999999,ChIJFUNUZB6RToYR5u9tF1bZpjQ
Eladio R. Martinez Learning Center,Dallas,94.77,32.7872198,-96.8937213,ChIJ3ceComibToYRW1HgL2rNVDI
Frederick Douglass Elementary School,Dallas,90.85,32.7157267,-96.6989995,ChIJE5ItPtK8ToYRC3ZNJVzXB1Q
Solar Preparatory School for Boys,Dallas,93.09,32.809658299999995,-96.7738258,ChIJaZSVQjSfToYR5DbDmYd1NXM
Onesimo Hernandez Elementary School,Dallas,83.66,32.81985029999999,-96.8363483,ChIJWyixDB6cToYRt9fCgyMfv90
Eduardo Mata Elementary School,Dallas,55.53,32.806587300000004,-96.7320124,ChIJC6AzRB6iToYRra1jX9-r3Is
Julian T. Saldivar Elementary School,Dallas,94.6,32.86506260000001,-96.87303890000001,ChIJ2-y1LaCdToYRpftV3DHxZG8
Maria Moreno Elementary School,Dallas,92.22,32.7241259,-96.8576737,ChIJVzjcR22aToYRv32uFP2H9zk
Pleasant Grove Elementary School,Dallas,97.99,32.738462,-96.655661,ChIJJ5iXc6SkToYRtPC_lAgZxjE
Mary McLeod Bethune Elementary School,Dallas,89.75,32.7266842,-96.909426,ChIJy_Eo4bmaToYRhQN2TQ7M7Js
Louise Wolff Kahn Elementary School,Dallas,79.79,32.7509316,-96.85955870000001,ChIJd0dDxUuaToYRGbuecfKMg7g
Gilbert Cuellar Sr. Elementary School,Dallas,96.51,32.7169751,-96.6425779,ChIJJ6kxBDa7ToYRmh9wSQwthLc
Thomas Tolbert Elementary School,Dallas,83.0,32.699211,-96.887856,ChIJJYtkunqQToYRgWvq3URVFjo
Leonides Gonzalez Cigarroa MD Elementary School,Dallas,98.28,32.88000919999999,-96.8648171,ChIJBbmr0I-dToYR20X4qbDlHC0
Jerry R. Junkins Elementary School,Dallas,74.47,32.973889,-96.856789,ChIJOxXAoZgmTIYR_y_MbqZcsvk
Anne Frank Elementary School,Dallas,78.51,32.947545100000006,-96.8180177,ChIJ_3KNaiMhTIYRSMKOkLzI0_I
Cesar Chavez Learning Center,Dallas,96.47,32.80361299999999,-96.780579,ChIJ_SByZM2YToYRX75ZOJPrhQQ
"Esperanza ""Hope"" Medrano Elementary School",Dallas,92.04,32.808778100000005,-96.82657590000001,ChIJ-SqtD66eToYRQ-LeD2EDb88
Highland Meadows Elementary School,Dallas,96.79,32.87072219999999,-96.6879035,ChIJtcKAoOmgToYRdU-PsXTQcYU
N.W. Harllee Early Childhood Center,Dallas,93.33,32.750431,-96.80587,ChIJbySV_qSZToYRScEHGGrHYfw
Lee A. McShan Jr. Elementary School,Dallas,98.41,32.88799110000001,-96.7615163,ChIJY6PxEOWfToYRCTYU7lMrTok
Celestino Mauricio Soto Jr. Elementary School,Dallas,94.44,32.7360508,-96.894672,ChIJHx--lOuaToYRiDFMtIhUpJc
Felix G Botello Elementary School,Dallas,96.27,32.745545799999995,-96.8166781,ChIJL4aDkJeZToYRfdCc-1INdQM
Wilmer-Hutchins Elementary School,Dallas,82.13,32.6540461,-96.7270915,ChIJ3ceXrb-9ToYRK4AEYquKlkQ
Thelma Elizabeth Page Richardson Elementary School,Dallas,96.21,32.7492338,-96.6942829,ChIJt4Ya7hCjToYRAFAQj2Aiu2E
Ebby Halliday Elementary School,Dallas,96.26,32.675299,-96.646107,ChIJtVeoUJ67ToYRFxSAb-2Fgn0
