School Name,Location,Percent in Poverty,Lat,Long,Google Place ID
Kay Franklin Elementary School,San Antonio,90.63,29.5273882,-98.7315612,ChIJZ1nRc5NpXIYRWqa1idCgEJg
Gates Elementary School,San Antonio,97.52,29.4099234,-98.4278566,ChIJdyGkXZL2XIYRhh0JiXBbhig
Charles Graebner Elementary School,San Antonio,93.24,29.384539,-98.52810199999999,ChIJdaDOif1YXIYR6sEyEDYLmU4
Robert B Green Academy,San Antonio,88.46,29.399431,-98.48383,ChIJNy8ZhCD2XIYRm385ZPZbeRM
Herff Elementary School,San Antonio,96.73,29.40919019999999,-98.47245389999999,ChIJI5f_Sxf2XIYRhXwvlowTISY
Highland Hills Elementary School,San Antonio,92.6,29.378612,-98.441575,ChIJj51ZaKr3XIYRAuYnK-hHuPU
Highland Park Elementary School,San Antonio,93.18,29.398981,-98.462299,ChIJF6riVz_2XIYRPZWRaCgNyhc
Hillcrest Elementary School,San Antonio,94.86,29.3872478,-98.50512859999999,ChIJ3Y6xI41YXIYRJBXfmYKxJQY
Hirsch Elementary School,San Antonio,94.96,29.400986,-98.3988,ChIJASkEdMz2XIYRmxyuzGvby_4
Huppertz Elementary School,San Antonio,90.93,29.454997,-98.574265,ChIJ62FceihcXIYRy3JdozZccLU
Cleto L Rodriguez Elementary School,San Antonio,93.41,29.4247127,-98.54006369999999,ChIJ5SvGds1eXIYRh76jP9qVmss
Eloise Japhet Academy,San Antonio,92.08,29.3869967,-98.46785179999999,ChIJ7YCUUzH2XIYRS4vwaODq3Vo
Martin Luther King Academy,San Antonio,91.4,29.41442929999999,-98.4210585,ChIJ467TWZb2XIYRUzzj1gZjWZI
George E Kelly Elementary School,San Antonio,95.22,29.3952625,-98.5405129,ChIJ4x7rDxdZXIYRFSQwOzahEjw
Sarah S. King Elementary School,San Antonio,96.59,29.40801160000001,-98.5376153,ChIJVafkHiVZXIYRjVS1WuG-p68
Lamar Elementary School,San Antonio,83.18,29.4589539,-98.4661134,ChIJve2sBJf1XIYRW-fSrWUL4ds
Bowden Elementary School,San Antonio,95.74,29.4317529,-98.4692853,ChIJZXlp7uP1XIYRh0hy8owLlHo
James Madison Elementary School,San Antonio,92.38,29.455646,-98.5516279,ChIJv9c6n5JeXIYRlpPv3U_T_Mc
Margil Elementary School,San Antonio,94.32,29.4329586,-98.5134863,ChIJs3ZM_TBfXIYRfvU8Yc0vFpc
Maverick Elementary School,San Antonio,86.05,29.4784259,-98.5469959,ChIJm3b3H11eXIYRBxiwPhMMLPs
Dorie Miller Elementary School,San Antonio,90.38,29.411809,-98.4380269,ChIJwY-chYn2XIYRwkzXvRgBRMY
Elma A Neal Elementary School,San Antonio,94.73,29.4835631,-98.514685,ChIJH7sZ47pfXIYRzEgoIp3BIMM
Ogden Elementary School,San Antonio,95.41,29.4369202,-98.536913,ChIJt4CU_NpeXIYRVJLgVn0_z84
Pershing Elementary School,San Antonio,96.36,29.4400896,-98.4535557,ChIJ36TRJMX1XIYRkVsQJfZEruM
Riverside Park Academy,San Antonio,95.59,29.3881846,-98.4827031,ChIJt19osyn2XIYRzFL7NpA1tb8
Rogers Elementary School,San Antonio,91.98,29.47285299999999,-98.502904,ChIJn0JIUJ5fXIYRV60SgUejuhI
Barkley-Ruiz Elementary School,San Antonio,91.43,29.4161184,-98.5244536, ChIJ2c9HkdZYXIYRrM4-NXzSW5Q
Mark Twain Dual Language Academy,San Antonio,45.5,29.4573258,-98.5004817,ChIJYT7sdm5fXIYRBWuDvf9r-98
Schenck Elementary School,San Antonio,87.54,29.361797,-98.436481,ChIJtR6MDQv3XIYRUO9VXG8vRZE
Smith Elementary School,San Antonio,96.23,29.41128500000001,-98.45746090000002,ChIJceDlGWz2XIYRkOEIHC0C9dU
