School ID, School Name, Percent in Poverty, Google Place ID
015907126,FRANKLIN EL,90.63,ChIJZ1nRc5NpXIYRWqa1idCgEJg
015907127,GATES EL,97.52,ChIJdyGkXZL2XIYRhh0JiXBbhig
015907129,CHARLES GRAEBNER EL,93.24,ChIJdaDOif1YXIYR6sEyEDYLmU4
015907131,ROBERT B GREEN EL,88.46,ChIJNy8ZhCD2XIYRm385ZPZbeRM
015907132,HERFF EL,96.73,ChIJI5f_Sxf2XIYRhXwvlowTISY
015907134,HIGHLAND HILLS EL,92.60,ChIJj51ZaKr3XIYRAuYnK-hHuPU
015907135,HIGHLAND PARK EL,93.18,ChIJF6riVz_2XIYRPZWRaCgNyhc
015907136,HILLCREST EL,94.86,ChIJ3Y6xI41YXIYRJBXfmYKxJQY
015907137,HIRSCH EL,94.96,ChIJASkEdMz2XIYRmxyuzGvby_4
015907139,HUPPERTZ EL,90.93,ChIJ62FceihcXIYRy3JdozZccLU
015907140,RODRIGUEZ EL,93.41,ChIJ5SvGds1eXIYRh76jP9qVmss
015907141,ELOISE JAPHET ACADEMY,92.08,ChIJ7YCUUzH2XIYRS4vwaODq3Vo
015907142,M L KING ACADEMY,91.40,ChIJ467TWZb2XIYRUzzj1gZjWZI
015907143,GEORGE E KELLY EL,95.22,ChIJ4x7rDxdZXIYRFSQwOzahEjw
015907144,SARAH S KING EL,96.59,ChIJVafkHiVZXIYRjVS1WuG-p68
015907146,LAMAR EL,83.18,ChIJve2sBJf1XIYRW-fSrWUL4ds
015907147,BOWDEN ACADEMY,95.74,ChIJZXlp7uP1XIYRh0hy8owLlHo
015907148,MADISON EL,92.38,ChIJv9c6n5JeXIYRlpPv3U_T_Mc
015907149,MARGIL EL,94.32,ChIJs3ZM_TBfXIYRfvU8Yc0vFpc
015907150,MAVERICK EL,86.05,ChIJm3b3H11eXIYRBxiwPhMMLPs
015907153,DORIE MILLER EL,90.38,ChIJwY-chYn2XIYRwkzXvRgBRMY
015907155,NEAL EL,94.73,ChIJH7sZ47pfXIYRzEgoIp3BIMM
015907157,OGDEN EL,95.41,ChIJt4CU_NpeXIYRVJLgVn0_z84
015907158,PERSHING EL,96.36,ChIJ36TRJMX1XIYRkVsQJfZEruM
015907160,RIVERSIDE PARK EL,95.59,ChIJt19osyn2XIYRzFL7NpA1tb8
015907161,ROGERS ACADEMY,91.98,ChIJn0JIUJ5fXIYRV60SgUejuhI
015907162,DAVID BARKLEY/FRANCISCO RUIZ EL,91.43, ChIJ2c9HkdZYXIYRrM4-NXzSW5Q
015907163,MARK TWAIN DUAL LANGUAGE ACADEMY,45.50,ChIJYT7sdm5fXIYRBWuDvf9r-98
015907164,SCHENCK EL,87.54,ChIJtR6MDQv3XIYRUO9VXG8vRZE
015907165,SMITH EL,96.23,ChIJceDlGWz2XIYRkOEIHC0C9dU
