FIPS,State,County,PCT_DIABETES_ADULTS15,PCT_OBESE_ADULTS13,PCT_LACCESS_POP15,PCT_LACCESS_LOWI15,PCT_LACCESS_SNAP15,GROCPTH15,FFRPTH15
15005,HI,Kalawao,11.3,21.5,0,0,0,0,0
48269,TX,King,10.5,27.5,99.99999961,26.55172394,0,0,0
31117,NE,McPherson,10.1,30.5,100.000001,27.69953077,0,0,0
02230,AK,Skagway,6.4,28.1,0.309912579,0.050508891,0.014255674,0,0
47175,TN,Van Buren,14.6,32.1,0.708763297,0.36404377,0.124354475,0,0
32029,NV,Storey,11.1,26.9,5.474277041,1.195522584,0.246450458,0,0
02195,AK,Petersburg,7.1,30.5,4.724260753,0.662112296,0.438436832,0,0
31113,NE,Logan,9.3,31.1,14.03225162,3.503170214,0.708183804,0,0
38007,ND,Billings,7.8,28.3,99.99999959,26.31578941,1.108033235,0,0
13101,GA,Echols,10.9,28.3,4.816652276,2.552523063,1.129828704,0,0
31009,NE,Blaine,9.1,29.1,99.99999966,34.68013469,1.199999997,0,0
48033,TX,Borden,11.3,27.3,100,15.00742944,1.562500003,0,0
02275,AK,Wrangell,8.9,30.6,21.55442949,6.566581991,3.040048692,0,0
31183,NE,Wheeler,9.3,28.1,99.99999974,36.20283009,4.123711329,0,0
38087,ND,Slope,9.3,26.9,95.2378065,25.84074736,4.214652931,0,0
38065,ND,Oliver,10.9,32.1,84.29039624,18.04349077,5.600837012,0,0
31115,NE,Loup,11.1,30.7,80.12315556,29.66993414,5.825103192,0,0
30103,MT,Treasure,9.9,25.6,99.99999999,41.78712262,6.176470588,0,0
02198,AK,Prince of Wales-Hyder,7.3,35.2,31.6386517,14.76499609,7.147269447,0,0
48311,TX,McMullen,11.8,32.2,98.00022159,37.470673,9.320144603,0,0
31007,NE,Banner,13.1,33.5,98.53998076,44.57462918,9.853377436,0,0
20097,KS,Kiowa,10.3,32.8,99.65433865,36.72615615,10.2289339,0,0
48261,TX,Kenedy,9.2,26.4,97.16565876,56.86399309,10.34060231,0,0
28055,MS,Issaquena,15.5,34.4,42.47263692,27.15330449,12.15866611,0,0
17059,IL,Gallatin,10.8,28.4,75.23049582,29.26874405,12.29546665,0,0
29197,MO,Schuyler,11.4,30.3,82.24952624,37.21623418,14.64455961,0,0
13265,GA,Taliaferro,16.2,31.4,68.28300176,41.89662768,18.12588806,0,0
48301,TX,Loving,10.5,29,99.9999994,50.58823515,18.18181819,0,0
02105,AK,Hoonah-Angoon,7.3,31.8,99.39092036,38.76796357,18.91271321,0,0
16033,ID,Clark,8.5,31.4,100.0000006,65.37059565,22.69503548,0,0
46017,SD,Buffalo,16.2,42,99.7216897,71.84420925,37.25448848,0,0
47007,TN,Bledsoe,12.5,32.7,3.07247548,1.637993733,0.743089482,0.071782356,0
28015,MS,Carroll,16.8,34.2,40.92440047,19.63760496,5.389929763,0.097522918,0
54017,WV,Doddridge,13,35.7,4.445897035,0.843072005,0.47869109,0.119175307,0
28009,MS,Benton,15.9,37,36.83577658,21.55023234,8.016720078,0.120540019,0
51097,VA,King and Queen,12.2,30.1,7.738902674,3.505813358,0.702066929,0.139372822,0
51036,VA,Charles City,14.2,35.2,2.298385625,0.547672529,0.379559297,0.142389292,0
48205,TX,Hartley,9.6,27.3,23.92075052,8.940255649,2.078938553,0.16423058,0
08047,CO,Gilpin,6.3,19.7,0,0,0,0.170910955,0
17175,IL,Stark,12.2,30.2,30.02026271,9.379163529,2.64622911,0.172028213,0
13259,GA,Stewart,13.7,34.2,9.823710433,5.710758725,3.349995909,0.174094708,0
08025,CO,Crowley,6,21.6,7.890863162,4.863599199,3.483119877,0.186567164,0
51049,VA,Cumberland,13.8,32.1,55.1817734,23.91927986,12.52142148,0.203520912,0
22107,LA,Tensas,16.3,34.8,24.44762475,16.8913753,3.593137636,0.207039337,0
54063,WV,Monroe,13.7,30.9,12.20901294,5.447751671,2.16670172,0.220880577,0
46031,SD,Corson,13.3,40.9,89.78688438,57.64454799,30.33450618,0.239120038,0
18171,IN,Warren,12.2,32.1,4.737309206,1.698221428,0.184534963,0.239463602,0
17069,IL,Hardin,13,30.6,16.5443611,4.775370945,2.804922134,0.242189392,0
29103,MO,Knox,10.9,31.7,19.30865516,8.602500136,2.444537265,0.25,0
37073,NC,Gates,12.9,33.9,0.039059205,0.023066592,0.007773598,0.25935852,0
40129,OK,Roger Mills,12.5,32.8,54.86768404,19.65080067,2.593087051,0.265886732,0
17003,IL,Alexander,11.4,28.4,21.21933856,12.50765733,5.527271717,0.266951415,0
30097,MT,Sweet Grass,9.9,24.3,22.61459051,6.558608689,0.629609682,0.272851296,0
46025,SD,Clark,10.4,30.6,46.27931238,14.70743446,2.36915397,0.274348422,0
01085,AL,Lowndes,23.5,45.1,22.4786653,13.06214495,6.562970115,0.283553875,0
21181,KY,Nicholas,12.5,32.5,0.52179664,0.188992981,0.080831441,0.284050561,0
20019,KS,Chautauqua,12.6,34.1,36.63934541,16.01459811,5.032420018,0.287273772,0
46061,SD,Hanson,8.3,28.9,17.87608191,5.964449861,0.720382235,0.292483182,0
